
2026-02-01 10:00,Dad,Rahul,WhatsApp,Sent the monthly allowance. Use it wisely.
2026-02-01 10:30,Rahul,Dad,WhatsApp,Received. Thanks Dad.
2026-02-05 18:00,Dad,Rahul,WhatsApp,How is the project coming along? Dr. Sharma mentioned you were busy.
2026-02-05 19:00,Rahul,Dad,WhatsApp,It's going well. A bit complex but I'm managing.
2026-02-10 09:00,Dad,Rahul,WhatsApp,Did you check the car insurance papers I sent?
2026-02-10 11:00,Rahul,Dad,WhatsApp,Not yet. I'll check after my lab.
2026-02-13 15:00,Dad,Rahul,WhatsApp,Your mother is planning a puja next month. Make sure you are free.
2026-02-13 15:30,Rahul,Dad,WhatsApp,Okay Dad. Just let me know the dates.
2026-02-15 21:00,Dad,Rahul,WhatsApp,Your mother says you aren't picking up her calls. Call her.
2026-02-15 21:15,Rahul,Dad,WhatsApp,I was just in a meeting. Calling her now.
2026-02-18 09:00,Dad,Rahul,WhatsApp,Check the news. Tech layoffs are starting. Focus on your grades.
2026-02-18 10:00,Rahul,Dad,WhatsApp,Yes Dad. I am spending extra time in the lab now.
2026-02-20 08:00,Dad,Rahul,WhatsApp,Have you applied for the Summer Internship at TechCorp?
2026-02-20 10:00,Rahul,Dad,WhatsApp,Working on the resume today. Deadline is next week.
2026-02-24 18:00,Dad,Rahul,WhatsApp,We are planning the Manali trip for June. Check your exam dates.
2026-02-24 20:00,Rahul,Dad,WhatsApp,Last exam is May 28th. June is clear for me.
2026-02-27 15:00,Dad,Rahul,WhatsApp,Don't spend too much on that concert tonight. Save for the trip.
2026-02-27 15:30,Rahul,Dad,WhatsApp,It was a cheap ticket Dad. Don't worry.
2026-03-01 09:00,Dad,Rahul,WhatsApp,Did you call the bank regarding the education loan interest?
2026-03-01 09:15,Rahul,Dad,WhatsApp,I'll do it today. Got busy with the college fest.
2026-03-02 09:00,Dad,Rahul,WhatsApp,Dr. Sharma says you missed the morning meeting. Is everything okay?
2026-03-02 10:00,Rahul,Dad,WhatsApp,Just a slight headache. Overslept. I'm fine now.
